title,year,genre,rating,numvotes,plot
Stalker,1979,"Drama,Sci-Fi",8.2,104064,A guide leads two men through an area known as the Zone to find a room that grants wishes.
Life Is Beautiful,1997,"Comedy,Drama,Romance",8.6,579050,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
Witness for the Prosecution,1957,"Crime,Drama,Film-Noir",8.4,98105,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
For a Few Dollars More,1965,Western,8.3,216411,Two bounty hunters with the same intentions team up to track down a Western outlaw.
Gran Torino,2008,Drama,8.1,688557,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino."
Once Upon a Time in America,1984,"Crime,Drama",8.4,290091,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life."
WALL·E,2008,"Animation,Adventure,Family",8.4,942499,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
Incendies,2010,"Drama,Mystery,War",8.3,131921,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
The Truman Show,1998,"Comedy,Drama,Sci-Fi",8.1,871987,An insurance salesman discovers his whole life is actually a reality TV show.
The Hunt,2012,Drama,8.3,255311,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
3 Idiots,2009,"Comedy,Drama",8.4,315314,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
The Prestige,2006,"Drama,Mystery,Sci-Fi",8.5,1108697,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
Joker,2019,"Crime,Drama,Thriller",8.6,644951,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
The Godfather,1972,"Crime,Drama",9.2,1505774,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Matrix,1999,"Action,Sci-Fi",8.7,1573755,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Metropolis,1927,"Drama,Sci-Fi",8.3,150179,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences."
The Lion King,1994,"Animation,Adventure,Drama",8.5,883551,"A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities."
Heat,1995,"Crime,Drama,Thriller",8.2,542359,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
Amadeus,1984,"Biography,Drama,History",8.3,349225,"The life, success and troubles of"
Chinatown,1974,"Drama,Mystery,Thriller",8.2,275752,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder."
Singin' in the Rain,1952,"Comedy,Musical,Romance",8.3,205079,A silent film production company and cast make a difficult transition to sound.
Amélie,2001,"Comedy,Romance",8.3,671456,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
L.A. Confidential,1997,"Crime,Drama,Mystery",8.2,507354,"As corruption grows in 1950s Los Angeles, three policemen -- one strait-laced, one brutal, and one sleazy -- investigate a series of murders with their own brand of justice."
American Beauty,1999,Drama,8.3,1019418,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
Wild Tales,2014,"Comedy,Drama,Thriller",8.1,159569,Six short stories that explore the extremities of human behavior involving people in distress.
Spider-Man: Into the Spider-Verse,2018,"Animation,Action,Adventure",8.4,292703,"Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities."
Rebecca,1940,"Drama,Mystery,Romance",8.1,114572,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
Mary and Max,2009,"Animation,Comedy,Drama",8.1,155817,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
"Paris, Texas",1984,Drama,8.1,79660,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
Coco,2017,"Animation,Adventure,Family",8.4,318148,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
The Secret in Their Eyes,2009,"Drama,Mystery,Romance",8.2,179464,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
The Sixth Sense,1999,"Drama,Mystery,Thriller",8.1,869568,A boy who communicates with spirits seeks the help of a disheartened child psychologist.
Goodfellas,1990,"Biography,Crime,Drama",8.7,950268,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
Hotel Rwanda,2004,"Biography,Drama,History",8.1,321094,Paul Rusesabagina was a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.
The Lord of the Rings: The Return of the King,2003,"Adventure,Drama,Fantasy",8.9,1554837,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Platoon,1986,"Drama,War",8.1,362482,A young soldier in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.
Castle in the Sky,1986,"Animation,Adventure,Drama",8.0,133729,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
Full Metal Jacket,1987,"Drama,War",8.3,634672,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
In the Name of the Father,1993,"Biography,Drama",8.1,146601,A man's coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
Klaus,2019,"Animation,Adventure,Comedy",8.2,52541,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
Dangal,2016,"Action,Biography,Drama",8.4,135013,Former wrestler
The Treasure of the Sierra Madre,1948,"Adventure,Drama,Western",8.2,107295,Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
Terminator 2: Judgment Day,1991,"Action,Sci-Fi",8.5,945898,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg."
Das Boot,1981,"Adventure,Drama,Thriller",8.3,218458,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror."
Gone Girl,2014,"Drama,Mystery,Thriller",8.1,795644,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
Marriage Story,2019,"Comedy,Drama,Romance",8.1,148081,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.
Downfall,2004,"Biography,Drama,History",8.2,314981,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
